ds,station,demand
2025-12-09,Nairobi Central,80585.07
2025-12-10,Nairobi Central,82191.05
2025-12-11,Nairobi Central,87109.63
2025-12-12,Nairobi Central,106429.87
2025-12-13,Nairobi Central,95268.36
2025-12-14,Nairobi Central,90544.23
2025-12-15,Nairobi Central,83130.44
2025-12-16,Nairobi Central,81075.37
2025-12-17,Nairobi Central,82924.64
2025-12-18,Nairobi Central,86411.01
2025-12-19,Nairobi Central,88706.36
2025-12-20,Nairobi Central,95022.52
2025-12-21,Nairobi Central,94546.6
2025-12-22,Nairobi Central,103041.5
2025-12-23,Nairobi Central,100678.9
2025-12-24,Nairobi Central,105142.33
2025-12-25,Nairobi Central,103500.84
2025-12-26,Nairobi Central,115387.18
2025-12-27,Nairobi Central,114871.4
2025-12-28,Nairobi Central,119513.06
2025-12-29,Nairobi Central,104702.12
2025-12-30,Nairobi Central,102535.36
2025-12-31,Nairobi Central,106090.94
2026-01-01,Nairobi Central,102715.3
2026-01-02,Nairobi Central,115687.74
2026-01-03,Nairobi Central,97469.94
2026-01-04,Nairobi Central,96184.1
2026-01-05,Nairobi Central,89862.04
2026-01-06,Nairobi Central,82315.41
2026-01-07,Nairobi Central,83987.77
2026-01-08,Nairobi Central,83252.8
2026-01-09,Nairobi Central,94489.62
2026-01-10,Nairobi Central,91738.2
2026-01-11,Nairobi Central,97622.88
2026-01-12,Nairobi Central,85644.03
2026-01-13,Nairobi Central,82138.28
2026-01-14,Nairobi Central,83539.27
2026-01-15,Nairobi Central,87456.74
2026-01-16,Nairobi Central,98657.04
2026-01-17,Nairobi Central,102082.94
2026-01-18,Nairobi Central,104813.09
2026-01-19,Nairobi Central,88103.15
2026-01-20,Nairobi Central,84147.93
2026-01-21,Nairobi Central,80945.29
2026-01-22,Nairobi Central,87944.01
2026-01-23,Nairobi Central,94518.75
2026-01-24,Nairobi Central,95750.39
2026-01-25,Nairobi Central,95269.96
2026-01-26,Nairobi Central,87113.06
2026-01-27,Nairobi Central,90673.83
2026-01-28,Nairobi Central,88140.91
2026-01-29,Nairobi Central,87316.04
2026-01-30,Nairobi Central,94474.02
2026-01-31,Nairobi Central,92716.89
2026-02-01,Nairobi Central,96222.13
2026-02-02,Nairobi Central,87949.98
2026-02-03,Nairobi Central,93278.1
2026-02-04,Nairobi Central,88642.67
2026-02-05,Nairobi Central,91178.17
2026-02-06,Nairobi Central,96589.69
2026-02-07,Nairobi Central,94694.18
2026-02-08,Nairobi Central,95405.79
2026-02-09,Nairobi Central,86574.52
2026-02-10,Nairobi Central,94870.33
2026-02-11,Nairobi Central,86451.22
2026-02-12,Nairobi Central,91307.43
2026-02-13,Nairobi Central,95967.21
2026-02-14,Nairobi Central,101324.89
2026-02-15,Nairobi Central,99824.2
2026-02-16,Nairobi Central,88737.24
2026-02-17,Nairobi Central,89143.01
2026-02-18,Nairobi Central,87445.88
2026-02-19,Nairobi Central,90686.83
2026-02-20,Nairobi Central,97761.46
2026-02-21,Nairobi Central,95610.91
2026-02-22,Nairobi Central,95528.21
2026-02-23,Nairobi Central,90172.89
2026-02-24,Nairobi Central,94289.94
2026-02-25,Nairobi Central,90268.38
2026-02-26,Nairobi Central,89530.51
2026-02-27,Nairobi Central,100359.06
2026-02-28,Nairobi Central,103359.97
2026-03-01,Nairobi Central,100292.4
2026-03-02,Nairobi Central,88938.08
2026-03-03,Nairobi Central,93367.72
2026-03-04,Nairobi Central,91475.55
2026-03-05,Nairobi Central,94721.89
2026-03-06,Nairobi Central,100483.86
2026-03-07,Nairobi Central,96485.95
2026-03-08,Nairobi Central,96127.43
2026-03-09,Nairobi Central,95276.74
2026-03-10,Nairobi Central,95539.57
2026-03-11,Nairobi Central,90110.77
2026-03-12,Nairobi Central,89575.58
2026-03-13,Nairobi Central,104538.48
2026-03-14,Nairobi Central,97190.6
2026-03-15,Nairobi Central,97850.43
2026-03-16,Nairobi Central,92727.35
2026-03-17,Nairobi Central,89784.42
2026-03-18,Nairobi Central,90951.41
2026-03-19,Nairobi Central,90539.69
2026-03-20,Nairobi Central,101625.83
2026-03-21,Nairobi Central,104749.33
2026-03-22,Nairobi Central,100997.79
2026-03-23,Nairobi Central,93031.53
2026-03-24,Nairobi Central,85311.51
2026-03-25,Nairobi Central,91113.66
2026-03-26,Nairobi Central,88862.38
2026-03-27,Nairobi Central,97416.55
2026-03-28,Nairobi Central,98432.45
2026-03-29,Nairobi Central,100032.98
2026-03-30,Nairobi Central,94065.72
2026-03-31,Nairobi Central,87639.51
2026-04-01,Nairobi Central,91578.28
2026-04-02,Nairobi Central,90125.12
2026-04-03,Nairobi Central,115804.24
2026-04-04,Nairobi Central,119663.22
2026-04-05,Nairobi Central,118351.32
2026-04-06,Nairobi Central,111078.47
2026-04-07,Nairobi Central,91205.94
2026-04-08,Nairobi Central,89669.69
2026-04-09,Nairobi Central,91051.32
2026-04-10,Nairobi Central,102015.41
2026-04-11,Nairobi Central,101845.47
2026-04-12,Nairobi Central,98232.78
2026-04-13,Nairobi Central,92034.25
2026-04-14,Nairobi Central,92447.72
2026-04-15,Nairobi Central,99056.49
2026-04-16,Nairobi Central,97226.18
2026-04-17,Nairobi Central,98977.2
2026-04-18,Nairobi Central,100619.52
2026-04-19,Nairobi Central,97244.1
2026-04-20,Nairobi Central,90168.19
2026-04-21,Nairobi Central,92787.97
2026-04-22,Nairobi Central,95360.48
2026-04-23,Nairobi Central,89795.45
2026-04-24,Nairobi Central,99617.88
2026-04-25,Nairobi Central,95323.24
2026-04-26,Nairobi Central,101043.6
2026-04-27,Nairobi Central,88855.99
2026-04-28,Nairobi Central,90393.66
2026-04-29,Nairobi Central,89394.84
2026-04-30,Nairobi Central,91649.53
2026-05-01,Nairobi Central,106058.62
2026-05-02,Nairobi Central,97294.72
2026-05-03,Nairobi Central,107650.06
2026-05-04,Nairobi Central,88207.16
2026-05-05,Nairobi Central,88752.4
2026-05-06,Nairobi Central,97196.76
2026-05-07,Nairobi Central,100267.48
2026-05-08,Nairobi Central,98120.34
2026-05-09,Nairobi Central,100426.59
2026-05-10,Nairobi Central,102462.68
2026-05-11,Nairobi Central,96848.66
2026-05-12,Nairobi Central,89018.05
2026-05-13,Nairobi Central,91143.18
2026-05-14,Nairobi Central,94076.88
2026-05-15,Nairobi Central,102678.05
2026-05-16,Nairobi Central,100329.6
2026-05-17,Nairobi Central,101013.75
2026-05-18,Nairobi Central,87824.94
2026-05-19,Nairobi Central,91083.44
2026-05-20,Nairobi Central,90986.21
2026-05-21,Nairobi Central,92405.35
2026-05-22,Nairobi Central,99719.97
2026-05-23,Nairobi Central,102659.26
2026-05-24,Nairobi Central,104199.1
2026-05-25,Nairobi Central,92110.7
2026-05-26,Nairobi Central,92656.07
2026-05-27,Nairobi Central,91775.42
2026-05-28,Nairobi Central,91601.28
2026-05-29,Nairobi Central,99101.06
2026-05-30,Nairobi Central,102068.18
2026-05-31,Nairobi Central,100853.45
2026-06-01,Nairobi Central,109538.37
2026-06-02,Nairobi Central,96017.18
2026-06-03,Nairobi Central,92572.51
2026-06-04,Nairobi Central,89238.52
2026-06-05,Nairobi Central,97806.74
2026-06-06,Nairobi Central,104414.87
2026-06-07,Nairobi Central,101714.53
2026-06-08,Nairobi Central,92713.63
2026-06-09,Nairobi Central,86278.98
2026-06-10,Nairobi Central,93946.59
2026-06-11,Nairobi Central,92556.08
2026-06-12,Nairobi Central,97620.73
2026-06-13,Nairobi Central,99431.84
2026-06-14,Nairobi Central,101520.07
2026-06-15,Nairobi Central,91282.08
2026-06-16,Nairobi Central,90259.63
2026-06-17,Nairobi Central,90772.86
2026-06-18,Nairobi Central,90314.77
2026-06-19,Nairobi Central,101049.16
2026-06-20,Nairobi Central,104816.76
2026-06-21,Nairobi Central,93155.76
2026-06-22,Nairobi Central,90234.29
2026-06-23,Nairobi Central,91393.28
2026-06-24,Nairobi Central,91705.73
2026-06-25,Nairobi Central,89750.36
2026-06-26,Nairobi Central,95330.21
2026-06-27,Nairobi Central,101302.17
2026-06-28,Nairobi Central,105300.21
2026-06-29,Nairobi Central,86275.76
2026-06-30,Nairobi Central,93148.89
2026-07-01,Nairobi Central,89682.66
2026-07-02,Nairobi Central,90419.94
2026-07-03,Nairobi Central,97131.96
2026-07-04,Nairobi Central,99168.85
2026-07-05,Nairobi Central,103844.03
2026-07-06,Nairobi Central,92145.83
2026-07-07,Nairobi Central,95424.8
2026-07-08,Nairobi Central,93794.74
2026-07-09,Nairobi Central,91636.54
2026-07-10,Nairobi Central,104962.81
2026-07-11,Nairobi Central,101173.04
2026-07-12,Nairobi Central,102261.98
2026-07-13,Nairobi Central,89392.08
2026-07-14,Nairobi Central,90406.88
2026-07-15,Nairobi Central,88175.91
2026-07-16,Nairobi Central,93003.99
2026-07-17,Nairobi Central,96330.23
2026-07-18,Nairobi Central,101946.95
2026-07-19,Nairobi Central,99115.04
2026-07-20,Nairobi Central,93407.95
2026-07-21,Nairobi Central,92168.24
2026-07-22,Nairobi Central,95220.53
2026-07-23,Nairobi Central,92053.39
2026-07-24,Nairobi Central,94993.36
2026-07-25,Nairobi Central,99300.48
2026-07-26,Nairobi Central,96090.82
2026-07-27,Nairobi Central,88346.88
2026-07-28,Nairobi Central,94165.64
2026-07-29,Nairobi Central,91623.65
2026-07-30,Nairobi Central,87749.35
2026-07-31,Nairobi Central,96418.0
2026-08-01,Nairobi Central,99407.65
2026-08-02,Nairobi Central,95785.82
2026-08-03,Nairobi Central,87733.45
2026-08-04,Nairobi Central,90542.31
2026-08-05,Nairobi Central,92948.98
2026-08-06,Nairobi Central,91353.48
2026-08-07,Nairobi Central,92580.49
2026-08-08,Nairobi Central,100035.77
2026-08-09,Nairobi Central,99347.08
2026-08-10,Nairobi Central,90712.71
2026-08-11,Nairobi Central,94157.14
2026-08-12,Nairobi Central,83542.76
2026-08-13,Nairobi Central,87765.64
2026-08-14,Nairobi Central,100753.66
2026-08-15,Nairobi Central,94481.42
2026-08-16,Nairobi Central,103272.44
2026-08-17,Nairobi Central,90468.62
2026-08-18,Nairobi Central,91832.72
2026-08-19,Nairobi Central,87737.83
2026-08-20,Nairobi Central,91714.15
2026-08-21,Nairobi Central,102036.88
2026-08-22,Nairobi Central,99620.36
2026-08-23,Nairobi Central,99615.55
2026-08-24,Nairobi Central,90110.7
2026-08-25,Nairobi Central,86838.17
2026-08-26,Nairobi Central,88893.07
2026-08-27,Nairobi Central,88872.9
2026-08-28,Nairobi Central,100011.43
2026-08-29,Nairobi Central,101782.73
2026-08-30,Nairobi Central,95851.53
2026-08-31,Nairobi Central,88937.88
2025-09-01,Mombasa Hub,59508.4
2025-09-02,Mombasa Hub,56603.56
2025-09-03,Mombasa Hub,60471.33
2025-09-04,Mombasa Hub,60883.11
2025-09-05,Mombasa Hub,61839.11
2025-09-06,Mombasa Hub,63243.21
2025-09-07,Mombasa Hub,66335.35
2025-09-08,Mombasa Hub,58180.16
2025-09-09,Mombasa Hub,58831.72
2025-09-10,Mombasa Hub,57030.95
2025-09-11,Mombasa Hub,60779.28
2025-09-12,Mombasa Hub,67766.82
2025-09-13,Mombasa Hub,66237.18
2025-09-14,Mombasa Hub,68537.92
2025-09-15,Mombasa Hub,59922.2
2025-09-16,Mombasa Hub,57066.37
2025-09-17,Mombasa Hub,59729.78
2025-09-18,Mombasa Hub,56873.7
2025-09-19,Mombasa Hub,68054.73
2025-09-20,Mombasa Hub,66062.61
2025-09-21,Mombasa Hub,65785.11
2025-09-22,Mombasa Hub,57528.35
2025-09-23,Mombasa Hub,61655.38
2025-09-24,Mombasa Hub,58697.23
2025-09-25,Mombasa Hub,58122.95
2025-09-26,Mombasa Hub,65505.44
2025-09-27,Mombasa Hub,67434.55
2025-09-28,Mombasa Hub,67093.63
2025-09-29,Mombasa Hub,60016.08
2025-09-30,Mombasa Hub,60076.25
2025-10-01,Mombasa Hub,63793.54
2025-10-02,Mombasa Hub,58312.43
2025-10-03,Mombasa Hub,65307.34
2025-10-04,Mombasa Hub,64680.34
2025-10-05,Mombasa Hub,67793.7
2025-10-06,Mombasa Hub,61727.66
2025-10-07,Mombasa Hub,59069.64
2025-10-08,Mombasa Hub,57528.51
2025-10-09,Mombasa Hub,57590.65
2025-10-10,Mombasa Hub,68005.88
2025-10-11,Mombasa Hub,68235.89
2025-10-12,Mombasa Hub,67834.32
2025-10-13,Mombasa Hub,58055.03
2025-10-14,Mombasa Hub,60026.22
2025-10-15,Mombasa Hub,59809.78
2025-10-16,Mombasa Hub,60063.87
2025-10-17,Mombasa Hub,68708.33
2025-10-18,Mombasa Hub,67344.32
2025-10-19,Mombasa Hub,68363.88
2025-10-20,Mombasa Hub,67980.23
2025-10-21,Mombasa Hub,60396.34
2025-10-22,Mombasa Hub,61173.77
2025-10-23,Mombasa Hub,56701.82
2025-10-24,Mombasa Hub,66398.62
2025-10-25,Mombasa Hub,66113.67
2025-10-26,Mombasa Hub,65791.0
2025-10-27,Mombasa Hub,59418.69
2025-10-28,Mombasa Hub,63284.82
2025-10-29,Mombasa Hub,58229.01
2025-10-30,Mombasa Hub,62234.85
2025-10-31,Mombasa Hub,63753.24
2025-11-01,Mombasa Hub,66710.45
2025-11-02,Mombasa Hub,67831.59
2025-11-03,Mombasa Hub,61593.22
2025-11-04,Mombasa Hub,61910.83
2025-11-05,Mombasa Hub,62136.48
2025-11-06,Mombasa Hub,59718.53
2025-11-07,Mombasa Hub,66722.68
2025-11-08,Mombasa Hub,69624.8
2025-11-09,Mombasa Hub,67409.21
2025-11-10,Mombasa Hub,57918.42
2025-11-11,Mombasa Hub,58278.1
2025-11-12,Mombasa Hub,58792.69
2025-11-13,Mombasa Hub,61905.87
2025-11-14,Mombasa Hub,68393.54
2025-11-15,Mombasa Hub,69631.82
2025-11-16,Mombasa Hub,67272.54
2025-11-17,Mombasa Hub,61393.46
2025-11-18,Mombasa Hub,62458.44
2025-11-19,Mombasa Hub,60495.67
2025-11-20,Mombasa Hub,62207.72
2025-11-21,Mombasa Hub,67049.07
2025-11-22,Mombasa Hub,67752.89
2025-11-23,Mombasa Hub,67771.29
2025-11-24,Mombasa Hub,58872.08
2025-11-25,Mombasa Hub,62566.68
2025-11-26,Mombasa Hub,60561.09
2025-11-27,Mombasa Hub,61662.63
2025-11-28,Mombasa Hub,69935.15
2025-11-29,Mombasa Hub,69922.76
2025-11-30,Mombasa Hub,70457.43
2025-12-01,Mombasa Hub,61669.82
2025-12-02,Mombasa Hub,61030.97
2025-12-03,Mombasa Hub,61836.24
2025-12-04,Mombasa Hub,58427.29
2025-12-05,Mombasa Hub,66210.04
2025-12-06,Mombasa Hub,66542.99
2025-12-07,Mombasa Hub,67310.52
2025-12-08,Mombasa Hub,63192.96
2025-12-09,Mombasa Hub,60438.8
2025-12-10,Mombasa Hub,61643.29
2025-12-11,Mombasa Hub,65332.23
2025-12-12,Mombasa Hub,79822.41
2025-12-13,Mombasa Hub,71451.27
2025-12-14,Mombasa Hub,67908.18
2025-12-15,Mombasa Hub,62347.83
2025-12-16,Mombasa Hub,60806.53
2025-12-17,Mombasa Hub,62193.48
2025-12-18,Mombasa Hub,64808.26
2025-12-19,Mombasa Hub,66529.77
2025-12-20,Mombasa Hub,71266.89
2025-12-21,Mombasa Hub,70909.95
2025-12-22,Mombasa Hub,77281.12
2025-12-23,Mombasa Hub,75509.18
2025-12-24,Mombasa Hub,78856.75
2025-12-25,Mombasa Hub,77625.63
2025-12-26,Mombasa Hub,86540.39
2025-12-27,Mombasa Hub,86153.55
2025-12-28,Mombasa Hub,89634.79
2025-12-29,Mombasa Hub,78526.59
2025-12-30,Mombasa Hub,76901.52
2025-12-31,Mombasa Hub,79568.21
2026-01-01,Mombasa Hub,77036.47
2026-01-02,Mombasa Hub,86765.81
2026-01-03,Mombasa Hub,73102.46
2026-01-04,Mombasa Hub,72138.07
2026-01-05,Mombasa Hub,67396.53
2026-01-06,Mombasa Hub,61736.55
2026-01-07,Mombasa Hub,62990.83
2026-01-08,Mombasa Hub,62439.6
2026-01-09,Mombasa Hub,70867.22
2026-01-10,Mombasa Hub,68803.65
2026-01-11,Mombasa Hub,73217.16
2026-01-12,Mombasa Hub,64233.02
2026-01-13,Mombasa Hub,61603.71
2026-01-14,Mombasa Hub,62654.45
2026-01-15,Mombasa Hub,65592.56
2026-01-16,Mombasa Hub,73992.78
2026-01-17,Mombasa Hub,76562.2
2026-01-18,Mombasa Hub,78609.82
2026-01-19,Mombasa Hub,66077.36
2026-01-20,Mombasa Hub,63110.95
2026-01-21,Mombasa Hub,60708.97
2026-01-22,Mombasa Hub,65958.0
2026-01-23,Mombasa Hub,70889.06
2026-01-24,Mombasa Hub,71812.79
2026-01-25,Mombasa Hub,71452.47
2026-01-26,Mombasa Hub,65334.79
2026-01-27,Mombasa Hub,68005.38
2026-01-28,Mombasa Hub,66105.68
2026-01-29,Mombasa Hub,65487.03
2026-01-30,Mombasa Hub,70855.52
2026-01-31,Mombasa Hub,69537.66
2026-02-01,Mombasa Hub,72166.6
2026-02-02,Mombasa Hub,65962.48
2026-02-03,Mombasa Hub,69958.58
2026-02-04,Mombasa Hub,66482.0
2026-02-05,Mombasa Hub,68383.63
2026-02-06,Mombasa Hub,72442.27
2026-02-07,Mombasa Hub,71020.64
2026-02-08,Mombasa Hub,71554.34
2026-02-09,Mombasa Hub,64930.89
2026-02-10,Mombasa Hub,71152.75
2026-02-11,Mombasa Hub,64838.41
2026-02-12,Mombasa Hub,68480.58
2026-02-13,Mombasa Hub,71975.41
2026-02-14,Mombasa Hub,75993.67
2026-02-15,Mombasa Hub,74868.15
2026-02-16,Mombasa Hub,66552.93
2026-02-17,Mombasa Hub,66857.26
2026-02-18,Mombasa Hub,65584.41
2026-02-19,Mombasa Hub,68015.12
2026-02-20,Mombasa Hub,73321.09
2026-02-21,Mombasa Hub,71708.18
2026-02-22,Mombasa Hub,71646.15
2026-02-23,Mombasa Hub,67629.67
2026-02-24,Mombasa Hub,70717.45
2026-02-25,Mombasa Hub,67701.29
2026-02-26,Mombasa Hub,67147.88
2026-02-27,Mombasa Hub,75269.3
2026-02-28,Mombasa Hub,77519.98
2026-03-01,Mombasa Hub,75219.3
2026-03-02,Mombasa Hub,66703.56
2026-03-03,Mombasa Hub,70025.79
2026-03-04,Mombasa Hub,68606.67
2026-03-05,Mombasa Hub,71041.42
2026-03-06,Mombasa Hub,75362.9
2026-03-07,Mombasa Hub,72364.46
2026-03-08,Mombasa Hub,72095.57
2026-03-09,Mombasa Hub,71457.55
2026-03-10,Mombasa Hub,71654.68
2026-03-11,Mombasa Hub,67583.08
2026-03-12,Mombasa Hub,67181.68
2026-03-13,Mombasa Hub,78403.86
2026-03-14,Mombasa Hub,72892.95
2026-03-15,Mombasa Hub,73387.82
2026-03-16,Mombasa Hub,69545.51
2026-03-17,Mombasa Hub,67338.31
2026-03-18,Mombasa Hub,68213.56
2026-03-19,Mombasa Hub,67904.77
2026-03-20,Mombasa Hub,76219.37
2026-03-21,Mombasa Hub,78562.0
2026-03-22,Mombasa Hub,75748.34
2026-03-23,Mombasa Hub,69773.64
2026-03-24,Mombasa Hub,63983.63
2026-03-25,Mombasa Hub,68335.25
2026-03-26,Mombasa Hub,66646.79
2026-03-27,Mombasa Hub,73062.42
2026-03-28,Mombasa Hub,73824.34
2026-03-29,Mombasa Hub,75024.73
2026-03-30,Mombasa Hub,70549.29
2026-03-31,Mombasa Hub,65729.63
2026-04-01,Mombasa Hub,68683.71
2026-04-02,Mombasa Hub,67593.84
2026-04-03,Mombasa Hub,86853.18
2026-04-04,Mombasa Hub,89747.41
2026-04-05,Mombasa Hub,88763.49
2026-04-06,Mombasa Hub,83308.85
2026-04-07,Mombasa Hub,68404.46
2026-04-08,Mombasa Hub,67252.27
2026-04-09,Mombasa Hub,68288.49
2026-04-10,Mombasa Hub,76511.56
2026-04-11,Mombasa Hub,76384.1
2026-04-12,Mombasa Hub,73674.58
2026-04-13,Mombasa Hub,69025.69
2026-04-14,Mombasa Hub,69335.79
2026-04-15,Mombasa Hub,74292.36
2026-04-16,Mombasa Hub,72919.63
2026-04-17,Mombasa Hub,74232.9
2026-04-18,Mombasa Hub,75464.64
2026-04-19,Mombasa Hub,72933.08
2026-04-20,Mombasa Hub,67626.14
2026-04-21,Mombasa Hub,69590.98
2026-04-22,Mombasa Hub,71520.36
2026-04-23,Mombasa Hub,67346.59
2026-04-24,Mombasa Hub,74713.41
2026-04-25,Mombasa Hub,71492.43
2026-04-26,Mombasa Hub,75782.7
2026-04-27,Mombasa Hub,66641.99
2026-04-28,Mombasa Hub,67795.25
2026-04-29,Mombasa Hub,67046.13
2026-04-30,Mombasa Hub,68737.15
2026-05-01,Mombasa Hub,79543.96
2026-05-02,Mombasa Hub,72971.04
2026-05-03,Mombasa Hub,80737.55
2026-05-04,Mombasa Hub,66155.37
2026-05-05,Mombasa Hub,66564.3
2026-05-06,Mombasa Hub,72897.57
2026-05-07,Mombasa Hub,75200.61
2026-05-08,Mombasa Hub,73590.25
2026-05-09,Mombasa Hub,75319.94
2026-05-10,Mombasa Hub,76847.01
2026-05-11,Mombasa Hub,72636.5
2026-05-12,Mombasa Hub,66763.54
2026-05-13,Mombasa Hub,68357.38
2026-05-14,Mombasa Hub,70557.66
2026-05-15,Mombasa Hub,77008.54
2026-05-16,Mombasa Hub,75247.2
2026-05-17,Mombasa Hub,75760.31
2026-05-18,Mombasa Hub,65868.71
2026-05-19,Mombasa Hub,68312.58
2026-05-20,Mombasa Hub,68239.65
2026-05-21,Mombasa Hub,69304.02
2026-05-22,Mombasa Hub,74789.97
2026-05-23,Mombasa Hub,76994.44
2026-05-24,Mombasa Hub,78149.32
2026-05-25,Mombasa Hub,69083.03
2026-05-26,Mombasa Hub,69492.05
2026-05-27,Mombasa Hub,68831.56
2026-05-28,Mombasa Hub,68700.96
2026-05-29,Mombasa Hub,74325.8
2026-05-30,Mombasa Hub,76551.14
2026-05-31,Mombasa Hub,75640.09
2026-06-01,Mombasa Hub,82153.78
2026-06-02,Mombasa Hub,72012.89
2026-06-03,Mombasa Hub,69429.38
2026-06-04,Mombasa Hub,66928.89
2026-06-05,Mombasa Hub,73355.06
2026-06-06,Mombasa Hub,78311.15
2026-06-07,Mombasa Hub,76285.9
2026-06-08,Mombasa Hub,69535.22
2026-06-09,Mombasa Hub,64709.24
2026-06-10,Mombasa Hub,70459.94
2026-06-11,Mombasa Hub,69417.06
2026-06-12,Mombasa Hub,73215.55
2026-06-13,Mombasa Hub,74573.88
2026-06-14,Mombasa Hub,76140.05
2026-06-15,Mombasa Hub,68461.56
2026-06-16,Mombasa Hub,67694.72
2026-06-17,Mombasa Hub,68079.65
2026-06-18,Mombasa Hub,67736.08
2026-06-19,Mombasa Hub,75786.87
2026-06-20,Mombasa Hub,78612.57
2026-06-21,Mombasa Hub,69866.82
2026-06-22,Mombasa Hub,67675.72
2026-06-23,Mombasa Hub,68544.96
2026-06-24,Mombasa Hub,68779.3
2026-06-25,Mombasa Hub,67312.77
2026-06-26,Mombasa Hub,71497.65
2026-06-27,Mombasa Hub,75976.63
2026-06-28,Mombasa Hub,78975.16
2026-06-29,Mombasa Hub,64706.82
2026-06-30,Mombasa Hub,69861.66
2026-07-01,Mombasa Hub,67262.0
2026-07-02,Mombasa Hub,67814.96
2026-07-03,Mombasa Hub,72848.97
2026-07-04,Mombasa Hub,74376.64
2026-07-05,Mombasa Hub,77883.02
2026-07-06,Mombasa Hub,69109.37
2026-07-07,Mombasa Hub,71568.6
2026-07-08,Mombasa Hub,70346.06
2026-07-09,Mombasa Hub,68727.41
2026-07-10,Mombasa Hub,78722.11
2026-07-11,Mombasa Hub,75879.78
2026-07-12,Mombasa Hub,76696.49
2026-07-13,Mombasa Hub,67044.06
2026-07-14,Mombasa Hub,67805.16
2026-07-15,Mombasa Hub,66131.93
